Dataset, Method, Silhouette Score, Adjusted Rand Index, Normalized Mutual Info Score, Accuracy, F1 Macro, Precision Macro, Recall Macro, F1 Micro, Precision Micro, Recall Micro
Chung, scgnn, 0.3672536116634314, 0.3534354382427844, 0.5111222767380957, 0.7066246056782335, 0.7710000396387526, 0.7962429696287963, 0.7608975148293295, 0.7066246056782335, 0.7066246056782335, 0.7066246056782335
Klein, scgnn, 0.35723124700044545, 0.6612834693537936, 0.7005861870742404, 0.7250644092749355, 0.6851629160006398, 0.7089822352892874, 0.7414097313354894, 0.7250644092749355, 0.7250644092749355, 0.7250644092749355
Kolodziejczyk, scgnn, 0.29039375330542533, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Zeisel, scgnn, 0.28385912359962445, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Chung, clear, -0.012920500566213269, 0.21736540098838159, 0.3008248545800532, 0.5362776025236593, 0.5168102653462179, 0.5765731415410236, 0.613491315518405, 0.5362776025236593, 0.5362776025236593, 0.5362776025236593
Klein, clear, 0.19661426772804844, 0.7423088923120291, 0.7261895911312733, 0.8836952521163047, 0.8678860986302755, 0.8653706211225076, 0.883264235430376, 0.8836952521163047, 0.8836952521163047, 0.8836952521163047
Kolodziejczyk, clear, 0.027319686367490995, 0.20667882991309422, 0.19173182066179062, 0.5454545454545454, 0.4787066283948074, 0.47810469028640856, 0.48602437551078426, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454
Zeisel, clear, 0.13696972648387656, 0.5734288738423083, 0.6239524159388644, 0.6985024958402662, 0.6488830963978316, 0.6610839591871229, 0.6530305787198124, 0.6985024958402662, 0.6985024958402662, 0.6985024958402662
Chung, raw, 0.010087675414979458, 0.18863844987379563, 0.30023220206247025, 0.583596214511041, 0.48182831661092534, 0.5784929356357927, 0.4525002663951409, 0.583596214511041, 0.583596214511041, 0.583596214511041
Chung, raw, 0.010087675414979458, 0.23079887556989648, 0.3861843950197813, 0.580441640378549, 0.5038989401450328, 0.6103896103896104, 0.47715454470110463, 0.580441640378549, 0.580441640378549, 0.580441640378549
Chung, raw, 0.010087675414979458, 0.15592416786323335, 0.25877758577194443, 0.5331230283911672, 0.43325257744265055, 0.448900135639795, 0.45165697777672537, 0.5331230283911672, 0.5331230283911672, 0.5331230283911672
